SolSuspensaoTotais,NitrogenioTotal,Clorofila,SolTotais,DBO,FosforoTotal,Nitratos,SolDissolvidosTotais,NitrogenioAmoniacal,Turbidez,Delta T,OD,TempAr,TempAmostra,pH,Município,Primavera,Inverno,Outono,Verao,Classe,Nome do manancial superficial,Date_x,Categoria do manancial superficial,Unidade,Resultado,UF,Região Geográfica,Outlier
50.0,1.0,2.880000114440918,96.0,3.0,0.0299999993294477,0.0199999995529651,76.0,0.4000000059604645,4.400000095367432,-4.0,6.980000019073486,21.0,25.0,8.829999923706055,RIACHAO DAS NEVES,0,1,0,0,0,RIO GRANDE,2019-07-17,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,2.119999885559082,50.0,2.0,0.0299999993294477,0.0399999991059303,50.0,0.4000000059604645,6.800000190734863,-5.0,1.590000033378601,22.0,27.0,6.449999809265137,SAO DESIDERIO,0,0,1,0,0,RIO GRANDE,2018-04-19,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,2.400000095367432,50.0,2.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,6.300000190734863,-7.3999996185302805,2.950000047683716,20.0,27.39999961853028,6.25,SAO DESIDERIO,0,0,1,0,0,RIO GRANDE,2018-04-19,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,2.119999885559082,50.0,2.0,0.0299999993294477,0.0399999991059303,50.0,0.4000000059604645,6.800000190734863,-5.0,1.590000033378601,22.0,27.0,6.449999809265137,BARREIRAS,0,0,1,0,0,RIO GRANDE,2018-04-19,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,2.400000095367432,50.0,2.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,6.300000190734863,-7.3999996185302805,2.950000047683716,20.0,27.39999961853028,6.25,BARREIRAS,0,0,1,0,0,RIO GRANDE,2018-04-19,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,5.489999771118164,64.0,3.0,0.0199999995529651,0.0199999995529651,56.0,0.4000000059604645,14.199999809265137,-2.5,6.389999866485596,28.0,30.5,6.230000019073486,ANGICAL,1,0,0,0,0,RIO GRANDE,2019-10-14,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,2.220000028610229,68.0,3.0,0.0199999995529651,0.0199999995529651,58.0,0.4000000059604645,4.900000095367432,-0.20000076293945312,5.659999847412109,28.0,28.200000762939453,6.369999885559082,ANGICAL,1,0,0,0,0,RIO GRANDE,2019-10-14,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,2.1700000762939453,66.0,4.0,0.0199999995529651,0.0199999995529651,60.0,0.4000000059604645,6.900000095367432,-1.2999992370605469,4.75,26.0,27.299999237060547,6.389999866485596,ANGICAL,1,0,0,0,0,RIO GRANDE,2019-10-14,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,2.1700000762939453,50.0,3.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,8.100000381469727,-0.2999992370605469,6.079999923706055,27.0,27.299999237060547,6.349999904632568,ANGICAL,1,0,0,0,0,RIO GRANDE,2019-10-14,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,0.4000000059604645,50.0,2.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,8.399999618530273,4.5,7.110000133514404,28.0,23.5,7.650000095367432,CRISTOPOLIS,0,1,0,0,0,RIO GRANDE,2018-07-09,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,0.4000000059604645,50.0,2.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,11.0,4.5,5.789999961853027,28.0,23.5,7.059999942779541,CRISTOPOLIS,0,1,0,0,0,RIO GRANDE,2018-07-09,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,2.5,50.0,3.0,0.0399999991059303,0.0199999995529651,50.0,0.4000000059604645,5.099999904632568,-2.8999996185302805,6.199999809265137,22.0,24.89999961853028,8.779999732971191,BARREIRAS,0,1,0,0,0,RIO GRANDE,2019-07-22,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,2.880000114440918,96.0,3.0,0.0299999993294477,0.0199999995529651,76.0,0.4000000059604645,4.400000095367432,-4.0,6.980000019073486,21.0,25.0,8.829999923706055,BARREIRAS,0,1,0,0,0,RIO GRANDE,2019-07-22,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,8.640000343322754,50.0,3.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,13.899999618530272,-0.7999992370605469,5.739999771118164,29.0,29.799999237060547,7.480000019073486,SAO DESIDERIO,1,0,0,0,0,RIO GRANDE,2019-12-10,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,4.349999904632568,60.0,6.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,7.800000190734863,0.8999996185302734,4.619999885559082,29.0,28.100000381469727,7.179999828338623,SAO DESIDERIO,1,0,0,0,0,RIO GRANDE,2019-12-10,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,6.139999866485596,64.0,10.0,0.0199999995529651,0.0199999995529651,52.0,0.4000000059604645,19.5,0.10000038146971946,5.489999771118164,29.0,28.89999961853028,7.659999847412109,SAO DESIDERIO,1,0,0,0,0,RIO GRANDE,2019-12-10,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,4.679999828338623,52.0,3.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,5.699999809265137,0.39999961853027344,5.75,28.0,27.600000381469727,8.399999618530273,SAO DESIDERIO,1,0,0,0,0,RIO GRANDE,2019-12-10,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,2.5,50.0,3.0,0.0399999991059303,0.0199999995529651,50.0,0.4000000059604645,5.099999904632568,-2.8999996185302805,6.199999809265137,22.0,24.89999961853028,8.779999732971191,SAO DESIDERIO,0,1,0,0,0,RIO GRANDE,2019-07-22,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,2.880000114440918,96.0,3.0,0.0299999993294477,0.0199999995529651,76.0,0.4000000059604645,4.400000095367432,-4.0,6.980000019073486,21.0,25.0,8.829999923706055,SAO DESIDERIO,0,1,0,0,0,RIO GRANDE,2019-07-22,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,5.489999771118164,64.0,3.0,0.0199999995529651,0.0199999995529651,56.0,0.4000000059604645,14.199999809265137,-2.5,6.389999866485596,28.0,30.5,6.230000019073486,RIACHAO DAS NEVES,1,0,0,0,0,RIO GRANDE,2019-10-16,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,2.220000028610229,68.0,3.0,0.0199999995529651,0.0199999995529651,58.0,0.4000000059604645,4.900000095367432,-0.20000076293945312,5.659999847412109,28.0,28.200000762939453,6.369999885559082,RIACHAO DAS NEVES,1,0,0,0,0,RIO GRANDE,2019-10-16,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,2.1700000762939453,66.0,4.0,0.0199999995529651,0.0199999995529651,60.0,0.4000000059604645,6.900000095367432,-1.2999992370605469,4.75,26.0,27.299999237060547,6.389999866485596,RIACHAO DAS NEVES,1,0,0,0,0,RIO GRANDE,2019-10-16,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,2.1700000762939453,50.0,3.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,8.100000381469727,-0.2999992370605469,6.079999923706055,27.0,27.299999237060547,6.349999904632568,RIACHAO DAS NEVES,1,0,0,0,0,RIO GRANDE,2019-10-16,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,0.7099999785423279,50.0,2.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,8.899999618530273,4.6000003814697195,5.269999980926514,33.0,28.39999961853028,6.590000152587891,ANGICAL,0,0,1,0,0,RIO GRANDE,2018-04-10,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,1.0399999618530271,68.0,2.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,7.5,4.5,6.460000038146973,33.0,28.5,7.980000019073486,ANGICAL,0,0,1,0,0,RIO GRANDE,2018-04-10,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,0.4000000059604645,50.0,2.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,8.399999618530273,4.5,7.110000133514404,28.0,23.5,7.650000095367432,SAO DESIDERIO,0,1,0,0,0,RIO GRANDE,2018-07-11,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,0.4000000059604645,50.0,2.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,11.0,4.5,5.789999961853027,28.0,23.5,7.059999942779541,SAO DESIDERIO,0,1,0,0,0,RIO GRANDE,2018-07-11,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,0.4000000059604645,50.0,3.0,0.0199999995529651,0.0399999991059303,50.0,0.4000000059604645,3.400000095367432,2.299999237060547,6.760000228881836,25.0,22.700000762939453,7.889999866485596,COTEGIPE,0,1,0,0,0,RIO GRANDE,2019-08-14,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,0.4000000059604645,50.0,3.0,0.0399999991059303,0.0299999993294477,50.0,0.4000000059604645,3.900000095367432,9.0,6.630000114440918,33.0,24.0,7.639999866485596,COTEGIPE,0,1,0,0,0,RIO GRANDE,2019-08-14,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,1.0399999618530271,50.0,2.0,0.0299999993294477,0.0199999995529651,50.0,0.4000000059604645,4.599999904632568,-1.0,5.269999980926514,23.0,24.0,7.239999771118164,ANGICAL,1,0,0,0,0,RIO GRANDE,2018-10-10,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,1.0299999713897705,50.0,2.0,0.0299999993294477,0.0199999995529651,50.0,0.4000000059604645,5.199999809265137,0.5,5.449999809265137,24.0,23.5,6.25,ANGICAL,1,0,0,0,0,RIO GRANDE,2018-10-10,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,3.2100000381469727,50.0,3.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,3.200000047683716,-1.2999992370605469,6.630000114440918,26.0,27.299999237060547,6.690000057220459,BARREIRAS,0,0,1,0,0,RIO GRANDE,2018-05-24,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,3.2100000381469727,50.0,2.0,0.0399999991059303,0.0199999995529651,50.0,0.4000000059604645,3.400000095367432,-1.6000003814697266,4.71999979019165,25.0,26.600000381469727,6.400000095367432,BARREIRAS,0,0,1,0,0,RIO GRANDE,2018-05-24,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,3.2100000381469727,50.0,3.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,3.200000047683716,-1.2999992370605469,6.630000114440918,26.0,27.299999237060547,6.690000057220459,SAO DESIDERIO,0,0,1,0,0,RIO GRANDE,2018-05-24,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,3.2100000381469727,50.0,2.0,0.0399999991059303,0.0199999995529651,50.0,0.4000000059604645,3.400000095367432,-1.6000003814697266,4.71999979019165,25.0,26.600000381469727,6.400000095367432,SAO DESIDERIO,0,0,1,0,0,RIO GRANDE,2018-05-24,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,8.640000343322754,50.0,3.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,13.899999618530272,-0.7999992370605469,5.739999771118164,29.0,29.799999237060547,7.480000019073486,ANGICAL,1,0,0,0,0,RIO GRANDE,2019-12-12,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,4.349999904632568,60.0,6.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,7.800000190734863,0.8999996185302734,4.619999885559082,29.0,28.100000381469727,7.179999828338623,ANGICAL,1,0,0,0,0,RIO GRANDE,2019-12-12,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,6.139999866485596,64.0,10.0,0.0199999995529651,0.0199999995529651,52.0,0.4000000059604645,19.5,0.10000038146971946,5.489999771118164,29.0,28.89999961853028,7.659999847412109,ANGICAL,1,0,0,0,0,RIO GRANDE,2019-12-12,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,4.679999828338623,52.0,3.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,5.699999809265137,0.39999961853027344,5.75,28.0,27.600000381469727,8.399999618530273,ANGICAL,1,0,0,0,0,RIO GRANDE,2019-12-12,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,0.4000000059604645,50.0,2.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,8.399999618530273,4.5,7.110000133514404,28.0,23.5,7.650000095367432,ANGICAL,0,1,0,0,0,RIO GRANDE,2018-07-12,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
