Delta T,TempAr,SolSuspensaoTotais,SolDissolvidosTotais,TempAmostra,SolTotais,pH,Turbidez,OD,Resultado,Unidade,Categoria do manancial superficial,UF,Nome do manancial superficial,Date_x,Município,Classe,Verao,Outono,Inverno,Primavera,Região Geográfica,Outlier
7.899999618530273,33.0,3.0,50.0,25.100000381469727,53.0,7.800000190734863,2.150000095367432,8.800000190734863,0.0,Microcystis sp.,rio,MG,PARA,2019-09-05,NOVA SERRANA,0,0,0,1,0,SUDESTE,1
3.200000762939453,30.0,15.0,133.0,26.799999237060547,148.0,7.199999809265137,11.699999809265137,6.599999904632568,0.0,Microcystis sp.,rio,MG,PARA,2018-02-28,NOVA SERRANA,0,1,0,0,0,SUDESTE,1
-0.5,27.0,2.0,81.0,27.5,81.0,7.199999809265137,14.600000381469728,7.199999809265137,0.0,Microcystis sp.,rio,MG,PARA,2018-02-28,NOVA SERRANA,0,1,0,0,0,SUDESTE,1
-0.39999961853028054,21.0,22.0,111.0,21.39999961853028,133.0,7.0,15.699999809265137,6.099999904632568,0.0,Microcystis sp.,rio,MG,PARA,2018-11-17,NOVA SERRANA,0,0,0,0,1,SUDESTE,1
0.20000076293945312,20.0,23.0,40.0,19.799999237060547,63.0,7.199999809265137,28.700000762939453,9.399999618530272,0.0,Microcystis sp.,rio,MG,PARA,2018-11-17,NOVA SERRANA,0,0,0,0,1,SUDESTE,1
2.0,27.0,34.0,45.0,25.0,79.0,7.199999809265137,31.200000762939453,8.699999809265137,0.0,Microcystis sp.,rio,MG,PARA,2018-11-17,NOVA SERRANA,0,0,0,0,1,SUDESTE,1
5.200000762939453,26.0,2.0,34.0,20.799999237060547,36.0,6.5,3.069999933242798,7.599999904632568,0.0,Microcystis sp.,rio,MG,PARA,2019-09-05,NOVA SERRANA,0,0,0,1,0,SUDESTE,1
-2.299999237060547,23.0,18.0,100.0,25.299999237060547,118.0,6.599999904632568,37.09999847412109,7.199999809265137,0.0,Microcystis sp.,rio,MG,RIO PARA,2018-12-03,POMPEU,0,0,0,0,1,SUDESTE,1
-0.7000007629394531,22.799999237060547,16.0,127.0,23.5,143.0,7.199999809265137,15.300000190734863,5.599999904632568,0.0,Microcystis sp.,rio,MG,RIO PARA,2018-12-03,POMPEU,0,0,0,0,1,SUDESTE,1
-1.0,24.100000381469727,17.0,93.0,25.100000381469727,110.0,6.800000190734863,20.700000762939453,6.699999809265137,0.0,Microcystis sp.,rio,MG,RIO PARA,2018-12-03,POMPEU,0,0,0,0,1,SUDESTE,1
5.1000003814697195,24.0,9.0,33.0,18.89999961853028,42.0,6.099999904632568,11.399999618530272,8.199999809265137,0.0,Microcystis sp.,rio,MG,PARA,2019-09-05,NOVA SERRANA,0,0,0,1,0,SUDESTE,1
1.0,19.0,22.0,121.0,18.0,143.0,6.5,21.39999961853028,2.0999999046325684,0.0,Microcystis sp.,rio,MG,PARA,2019-09-05,NOVA SERRANA,0,0,0,1,0,SUDESTE,1
1.6000003814697195,25.0,50.0,110.0,23.39999961853028,120.0,7.730000019073486,11.0,6.510000228881836,0.0,Microcystis sp.,rio,MG,SANTO ANTONIO,2018-06-18,CONCEICAO DO MATO DENTRO,0,0,1,0,0,SUDESTE,1
11.899999618530273,30.5,3.0,22.0,18.600000381469727,25.0,5.800000190734863,6.369999885559082,8.199999809265137,0.0,Microcystis sp.,rio,MG,SANTO ANTONIO,2018-06-18,CONCEICAO DO MATO DENTRO,0,0,1,0,0,SUDESTE,1
-2.200000762939453,21.0,50.0,68.0,23.200000762939453,94.0,5.579999923706055,6.099999904632568,5.0,0.0,Microcystis sp.,rio,MG,SANTO ANTONIO,2018-06-18,CONCEICAO DO MATO DENTRO,0,0,1,0,0,SUDESTE,1
4.899999618530273,22.0,3.0,27.0,17.100000381469727,30.0,6.300000190734863,8.430000305175781,8.800000190734863,0.0,Microcystis sp.,rio,MG,SANTO ANTONIO,2018-06-18,CONCEICAO DO MATO DENTRO,0,0,1,0,0,SUDESTE,1
0.7000007629394531,23.200000762939453,27.0,40.0,22.5,67.0,6.900000095367432,20.700000762939453,8.100000381469727,0.0,Microcystis sp.,rio,MG,CAPIVARI,2018-11-06,BOM DESPACHO,0,0,0,0,1,SUDESTE,1
1.5,24.0,18.0,28.0,22.5,46.0,6.800000190734863,19.600000381469727,8.100000381469727,0.0,Microcystis sp.,rio,MG,CAPIVARI,2018-02-19,BOM DESPACHO,0,1,0,0,0,SUDESTE,1
2.1000003814697266,23.100000381469727,4.0,65.0,21.0,69.0,6.699999809265137,7.670000076293945,8.600000381469727,0.0,Microcystis sp.,rio,MG,CARATINGA,2018-08-09,DOM CAVATI,0,0,0,1,0,SUDESTE,1
4.300001144409173,24.700000762939453,28.0,134.0,20.39999961853028,162.0,7.099999904632568,25.700000762939453,3.900000095367432,0.0,Microcystis sp.,rio,MG,CARATINGA,2018-08-09,DOM CAVATI,0,0,0,1,0,SUDESTE,1
4.400001525878906,26.700000762939453,2.0,85.0,22.299999237060547,87.0,7.099999904632568,12.399999618530272,9.100000381469728,0.0,Microcystis sp.,rio,MG,CARATINGA,2018-08-09,DOM CAVATI,0,0,0,1,0,SUDESTE,1
0.0,26.0,10.0,26.0,26.0,26.0,6.099999904632568,4.809999942779541,7.099999904632568,0.0,Microcystis sp.,rio,MG,RIO VERDE,2018-01-24,TRES CORACOES,0,1,0,0,0,SUDESTE,1
0.0,25.0,15.0,23.0,25.0,38.0,5.300000190734863,3.700000047683716,7.099999904632568,0.0,Microcystis sp.,rio,MG,RIO VERDE,2018-01-24,TRES CORACOES,0,1,0,0,0,SUDESTE,1
