Região Geográfica,UF,Município,Código IBGE,Date,Data_da_coleta,Categoria do manancial superficial,Unidade,Resultado,Nome_Rio_sisagua,Estacao_Codigo_split,Nome_Municipio,Profundidade,TempAr,TempAmostra,pH,Turbidez,CondutividadeEletrica,CondutividadeEspecifica,DBO,OD,SolTotais,SolSuspensaoTotais,SolDissolvidosTotais,NitrogenioTotal,NitrogenioAmoniacal,Nitratos,FosforoTotal,Ano,Clorofila,ODsaturacao,DescargaLiquida,OrtofosfatoTotal,Latitude,Longitude,Altitude,Classe
SUDESTE,SP,SALESOPOLIS,354500,2017-11-22,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21142000,DOIS CORREGOS,,,,,9.300000190734863,,,18.0,5.53000020980835,,214.0,202.0,,3.4800000190734863,,,2017,77.5199966430664,,,,-22.6128,-48.3478,448.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-23,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21067000,BIRITIBA-MIRIM,,,,,13.0,,,3.0,3.0199999809265137,,100.0,100.0,,0.3100000023841858,,,2017,4.010000228881836,,,,-23.565,-46.0158,750.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-21,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21376000,PEREIRA BARRETO,,,,,1.7000000476837158,,,2.0,7.800000190734863,,125.0,114.0,,0.1000000014901161,,,2017,1.870000004768372,,,,-20.6597,-51.1467,290.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-27,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21402000,PONGAI,,,,,2.5,,,2.0,7.0,,129.0,110.0,,0.1000000014901161,,,2017,6.420000076293945,,,,-21.6403,-49.2853,380.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-22,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21392000,PIRAPORA DO BOM JESUS,,,,,291.0,,,21.0,0.8500000238418579,,312.0,236.0,,11.600000381469728,,,2017,,,,,-23.3908,-46.9947,699.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-22,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21202000,IGARACU DO TIETE,,,,,4.5,,,4.0,4.360000133514404,,200.0,192.0,,0.1000000014901161,,,2017,18.18000030517578,,,,-22.5072,-48.5461,441.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-22,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21502000,SAO MANUEL,,,,,6.300000190734863,,,6.0,5.940000057220459,,202.0,194.0,,0.4000000059604645,,,2017,37.959999084472656,,,,-23.48,-46.4375,435.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-27,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21198000,IBITINGA,,,,,1.399999976158142,,,2.0,4.900000095367432,,129.0,103.0,,0.1000000014901161,,,2017,2.140000104904175,,,,-21.7586,-48.9942,380.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-23,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21190000,GUARULHOS,,,,,33.0,,,38.0,2.5299999713897705,,344.0,296.0,,8.029999732971191,,,2017,,,,,-23.5253,-46.5592,743.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-29,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21190000,GUARULHOS,,,,,8.399999618530273,,,5.0,5.980000019073486,,100.0,100.0,,0.1000000014901161,,,2017,1.7799999713897705,,,,-23.3772,-46.4597,850.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-23,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21309000,MOGI DAS CRUZES,,,,,12.0,,,3.0,2.450000047683716,,116.0,106.0,,0.1000000014901161,,,2017,1.409999966621399,,,,-23.5458,-46.1344,742.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-21,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21029000,ARACATUBA,,,,,2.400000095367432,,,2.0,7.699999809265137,,117.0,101.0,,0.1000000014901161,,,2017,5.880000114440918,,,,-21.0483,-50.4675,310.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-22,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21190000,GUARULHOS,,,,,144.0,,,40.0,0.8899999856948853,,356.0,270.0,,6.059999942779541,,,2017,,,,,-23.5197,-46.7464,700.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-23,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21256000,JERIQUARA,,,,,20.0,,,5.0,0.5400000214576721,,230.0,204.0,,2.3299999237060547,,,2017,5.880000114440918,,,,-23.5031,-46.3369,735.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-23,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21190000,GUARULHOS,,,,,34.0,,,19.0,0.449999988079071,,316.0,266.0,,7.170000076293945,,,2017,,,,,-23.4767,-46.4997,700.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-23,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21190000,GUARULHOS,,,,,23.0,,,57.0,0.6200000047683716,,324.0,280.0,,7.460000038146973,,,2017,,,,,-23.5217,-46.6311,700.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-22,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21241000,ITU,,,,,73.0,,,25.0,0.8100000023841858,,264.0,204.0,,6.860000133514404,,,2017,,,,,-23.4544,-46.9097,716.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-21,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21232000,ITAPURA,,,,,1.7999999523162842,,,2.0,5.900000095367432,,119.0,118.0,,0.1000000014901161,,,2017,1.0700000524520874,,,,-20.6694,-51.4447,277.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-23,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21233000,ITAQUAQUECETUBA,,,,,15.0,,,6.0,0.4000000059604645,,248.0,230.0,,4.349999904632568,,,2017,17.3700008392334,,,,-23.4719,-46.3472,739.0,0
SUDESTE,SP,VARZEA PAULISTA,355650,2017-12-09,2017-12-11,rio,Cylindrospermopsis sp.,125,RIO JUNDIAI,21242000,ITUPEVA,0.7300000190734863,31.0,25.5,8.579999923706055,15.600000381469728,,597.0,,3.5299999713897705,,,,,,,,2017,,46.5,,,-23.1503,-47.0578,701.0,0
SUDESTE,SP,VARZEA PAULISTA,355650,2017-12-09,2017-12-11,rio,Cylindrospermopsis sp.,125,RIO JUNDIAI,21242000,ITUPEVA,0.75,31.0,25.399999618530277,8.550000190734863,21.799999237060547,,595.2999877929688,,3.5,,,,,,,,2017,,46.29999923706055,,,-23.1503,-47.0578,701.0,0
SUDESTE,SP,VARZEA PAULISTA,355650,2017-12-09,2017-12-11,rio,Cylindrospermopsis sp.,125,RIO JUNDIAI,21242000,ITUPEVA,0.6499999761581421,31.0,25.5,8.600000381469727,13.100000381469728,,600.2000122070312,,3.4800000190734863,,,,,,,,2017,,46.09999847412109,,,-23.1503,-47.0578,701.0,0
SUDESTE,SP,BARUERI,350570,2018-02-27,2018-03-13,rio,Cylindrospermopsis sp.,37,RIO TIETE,21453000,SALTO,,,,,175.0,,,35.0,7.730000019073486,,604.0,284.0,,19.0,,,2018,22.299999237060547,,,,-23.2003,-47.3356,480.0,0
SUDESTE,SP,ITATIBA,352340,2018-01-15,2018-01-29,rio,Dolichospermum sp.,84,RIO ATIBAINHA,21072000,BOM JESUS DOS PERDOES,,,24.399999618530277,7.130000114440918,20.0,,,3.0,1.0,,100.0,100.0,,1.0,,,2018,1.0,,,,-23.1133,-46.4792,755.0,0
SUDESTE,SP,SAO BERNARDO DO CAMPO,354870,2018-01-10,2018-01-22,represa,Pseudoanabaena sp.,268,RIO GRANDE DE UBATUBA,21555000,UBATUBA,,,25.0,6.5,9.0,,,3.0,6.199999809265137,,138.0,135.0,,0.5,,,2018,1.5,,,,-23.4317,-45.0703,2.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2018-02-07,2018-02-19,rio,Pseudoanabaena sp.,4511,RIO TIETE,21392000,PIRAPORA DO BOM JESUS,,,,,,,,24.0,,,,,,,,,2018,,,,,-23.3908,-46.9947,699.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2018-04-13,2018-04-23,rio,Geitlerinema sp.,2043,RIO TIETE,21054000,BARRA BONITA,0.1000000014901161,,24.399999618530277,7.099999904632568,,,,1.7000000476837158,,,,,3.299999952316284,,,0.1870000064373016,2018,1.600000023841858,,,,-22.5194,-48.5344,450.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2018-04-12,2018-04-23,rio,Geitlerinema sp.,2043,RIO TIETE,21074000,BORACEIA,0.1000000014901161,,25.200000762939453,7.0,,,,1.7000000476837158,,,,,2.5,,,0.0049999998882412,2018,1.600000023841858,,,,-22.1533,-48.7525,426.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2018-04-16,2018-04-23,rio,Geitlerinema sp.,2043,RIO TIETE,21417000,PROMISSAO,0.1000000014901161,,26.700000762939453,7.0,,,,1.7000000476837158,,,,,1.5,,,0.2129999995231628,2018,1.600000023841858,,,,-21.2967,-49.7839,387.5,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2018-04-11,2018-04-23,rio,Geitlerinema sp.,2043,RIO TIETE,21198000,IBITINGA,0.1000000014901161,,27.0,7.199999809265137,,,,1.7000000476837158,,,,,1.5,,,0.209999993443489,2018,1.600000023841858,,,,-21.7575,-48.9914,407.5,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2018-04-12,2018-04-23,rio,Geitlerinema sp.,2043,RIO TIETE,21369000,PEDERNEIRAS,0.1000000014901161,,24.600000381469727,6.900000095367432,,,,1.7000000476837158,,,,,2.5,,,0.2240000069141388,2018,1.600000023841858,,,,-22.3206,-48.7303,423.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2018-05-04,2018-05-14,rio,Cylindrospermopsis sp.,63,RIO TIETE,21029000,ARACATUBA,0.3000000119209289,,28.399999618530277,7.800000190734863,,155.0,,3.0,5.03000020980835,,,,2.380000114440918,,,0.0199999995529651,2018,1.600000023841858,,,,-20.8378,-50.85,329.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2018-05-04,2018-05-14,rio,Cylindrospermopsis sp.,63,RIO TIETE,21029000,ARACATUBA,30.0,,27.200000762939453,6.869999885559082,,151.0,,3.0,1.7599999904632568,,,,2.0299999713897705,,,0.0199999995529651,2018,1.600000023841858,,,,-20.8378,-50.85,329.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2018-05-04,2018-05-14,rio,Cylindrospermopsis sp.,63,RIO TIETE,21029000,ARACATUBA,15.0,,27.200000762939453,6.619999885559082,,151.0,,3.0,3.859999895095825,,,,2.069999933242798,,,0.0199999995529651,2018,1.600000023841858,,,,-20.8378,-50.85,329.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2018-05-02,2018-05-14,rio,Cylindrospermopsis sp.,63,RIO TIETE,21022000,ANDRADINA,0.3000000119209289,,27.299999237060547,6.659999847412109,,204.0,,3.0,4.96999979019165,,,,1.75,,,0.0199999995529651,2018,1.600000023841858,,,,-20.6711,-51.2986,,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2018-05-02,2018-05-14,rio,Cylindrospermopsis sp.,63,RIO TIETE,21022000,ANDRADINA,5.0,,27.5,6.920000076293945,,205.0,,3.0,8.270000457763672,,,,1.4800000190734863,,,0.0199999995529651,2018,1.600000023841858,,,,-20.6711,-51.2986,,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2018-05-02,2018-05-14,rio,Cylindrospermopsis sp.,63,RIO TIETE,21022000,ANDRADINA,2.5,,27.5,6.920000076293945,,205.0,,3.0,8.420000076293945,,,,1.5,,,0.0199999995529651,2018,1.600000023841858,,,,-20.6711,-51.2986,,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2018-05-04,2018-05-14,rio,Cylindrospermopsis sp.,63,RIO TIETE,21376000,PEREIRA BARRETO,28.0,,27.600000381469727,7.449999809265137,,145.0,,3.0,1.2599999904632568,,,,1.5399999618530271,,,0.0199999995529651,2018,1.600000023841858,,,,-20.6733,-51.1464,329.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2018-05-04,2018-05-14,rio,Cylindrospermopsis sp.,63,RIO TIETE,21376000,PEREIRA BARRETO,14.0,,27.799999237060547,7.519999980926514,,148.0,,3.0,4.25,,,,1.6399999856948853,,,0.0199999995529651,2018,1.600000023841858,,,,-20.6733,-51.1464,329.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2018-05-03,2018-05-14,rio,Cylindrospermopsis sp.,63,RIO TIETE,21078500,BREJO ALEGRE,4.0,,26.899999618530277,7.110000133514404,,243.0,,3.0,8.5,,,,2.380000114440918,,,0.0199999995529651,2018,1.600000023841858,,,,-21.1275,-50.2175,330.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2018-05-03,2018-05-14,rio,Cylindrospermopsis sp.,63,RIO TIETE,21078500,BREJO ALEGRE,2.0,,26.799999237060547,7.110000133514404,,244.0,,3.0,8.279999732971191,,,,2.890000104904175,,,0.0199999995529651,2018,1.600000023841858,,,,-21.1275,-50.2175,330.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2018-05-03,2018-05-14,rio,Cylindrospermopsis sp.,63,RIO TIETE,21078500,BREJO ALEGRE,0.3000000119209289,,26.799999237060547,7.190000057220459,,245.0,,3.0,7.170000076293945,,,,2.190000057220459,,,0.0199999995529651,2018,1.600000023841858,,,,-21.1275,-50.2175,330.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2018-05-04,2018-05-14,rio,Cylindrospermopsis sp.,63,RIO TIETE,21376000,PEREIRA BARRETO,0.3000000119209289,,28.100000381469727,7.539999961853027,,148.0,,3.0,4.429999828338623,,,,1.7200000286102295,,,0.0199999995529651,2018,1.600000023841858,,,,-20.6733,-51.1464,329.0,0
