SolTotais,SolSuspensaoTotais,DBO,NitrogenioAmoniacal,Nitratos,Clorofila,FosforoTotal,SolDissolvidosTotais,Turbidez,OD,pH,Delta T,TempAmostra,TempAr,UF,Resultado,Unidade,Categoria do manancial superficial,Nome do manancial superficial,Date_x,Município,Classe,Verao,Outono,Inverno,Primavera,Região Geográfica,Outlier
1180.0,106.0,2.0,0.4000000059604645,0.699999988079071,1.840000033378601,0.7300000190734863,1070.0,120.0,6.03000020980835,5.460000038146973,0.2999992370605469,26.700000762939453,27.0,SC,0.0,Aphanocapsa sp.,rio,RIO DO PEIXE,2017-12-12,VIDEIRA,0,0,0,0,1,SUL,1
123.0,58.0,2.0,0.1000000014901161,0.5600000023841858,0.9889000058174132,0.1299999952316284,65.0,90.5999984741211,7.0,6.300000190734863,5.899999618530273,21.100000381469727,27.0,SC,0.0,Aphanocapsa sp.,rio,RIO DO PEIXE,2020-02-13,CAPINZAL,0,1,0,0,0,SUL,1
86.0,32.0,2.5,1.0299999713897705,2.7100000381469727,1.1955000162124634,0.1199999973177909,54.0,17.799999237060547,9.0,6.199999809265137,0.20000076293945312,17.899999618530273,18.100000381469727,SC,0.0,Aphanocapsa sp.,rio,RIO DO PEIXE,2020-05-13,CAPINZAL,0,0,1,0,0,SUL,1
76.0,14.0,2.0,0.1000000014901161,1.0399999618530271,0.800000011920929,0.0299999993294477,62.0,7.730000019073486,5.300000190734863,6.300000190734863,7.899997711181641,24.200000762939453,32.099998474121094,SC,0.0,Aphanocapsa sp.,rio,RIO DO PEIXE,2019-11-14,CAPINZAL,0,0,0,0,1,SUL,1
78.0,35.0,2.0,0.1599999964237213,0.3400000035762787,1.177899956703186,0.0599999986588954,43.0,52.29999923706055,6.900000095367432,5.699999809265137,1.7999992370605469,21.200000762939453,23.0,SC,0.0,Aphanocapsa sp.,rio,RIO DO PEIXE,2018-12-03,CAPINZAL,0,0,0,0,1,SUL,1
46.0,17.0,2.0,0.1099999994039535,0.699999988079071,0.800000011920929,0.1400000005960464,29.0,5.03000020980835,7.900000095367432,6.599999904632568,4.400001525878906,17.299999237060547,21.700000762939453,SC,0.0,Aphanocapsa sp.,rio,RIO DO PEIXE,2019-09-02,CAPINZAL,0,0,0,1,0,SUL,1
57.0,17.0,2.0,0.1099999994039535,0.4000000059604645,1.026900053024292,0.0399999991059303,40.0,35.29999923706055,7.900000095367432,5.599999904632568,4.5,22.5,27.0,SC,0.0,Aphanocapsa sp.,rio,RIO DO PEIXE,2018-12-03,CAPINZAL,0,0,0,0,1,SUL,1
64.0,4.0,2.0,0.1000000014901161,0.6800000071525574,1.468500018119812,0.0199999995529651,60.0,7.400000095367432,7.199999809265137,6.599999904632568,8.200000762939453,18.799999237060547,27.0,SC,0.0,Aphanocapsa sp.,rio,RIO DO PEIXE,2019-09-02,CAPINZAL,0,0,0,1,0,SUL,1
39.0,6.0,2.0,0.209999993443489,0.7400000095367432,0.934499979019165,0.0199999995529651,33.0,4.340000152587891,8.399999618530273,6.800000190734863,3.3999996185302663,19.39999961853028,22.799999237060547,SC,0.0,Aphanocapsa sp.,rio,RIO DO PEIXE,2019-09-02,CAPINZAL,0,0,0,1,0,SUL,1
1534.0,50.0,2.0,0.5,5.71999979019165,6.190000057220459,0.3100000023841858,1542.0,1.5,5.389999866485596,7.679999828338623,1.7999992370605469,28.200000762939453,30.0,SC,0.0,Aphanocapsa sp.,rio,RIO DO PEIXE,2018-02-06,VIDEIRA,0,1,0,0,0,SUL,1
72.0,34.0,2.0,0.209999993443489,0.4399999976158142,0.800000011920929,0.050000000745058,38.0,17.399999618530273,6.900000095367432,6.900000095367432,5.100000381469727,26.100000381469727,31.200000762939453,SC,0.0,Aphanocapsa sp.,rio,RIO DO PEIXE,2019-12-04,CAPINZAL,0,0,0,0,1,SUL,1
68.0,3.0,2.0,0.2300000041723251,0.7599999904632568,1.6019999980926514,0.0900000035762786,65.0,49.400001525878906,7.900000095367432,7.0,3.4000015258789062,24.299999237060547,27.700000762939453,SC,0.0,Aphanocapsa sp.,rio,RIO DO PEIXE,2019-12-04,CAPINZAL,0,0,0,0,1,SUL,1
1534.0,50.0,2.0,0.5,5.71999979019165,6.190000057220459,0.3100000023841858,1542.0,1.5,5.389999866485596,7.679999828338623,1.7999992370605469,28.200000762939453,30.0,SC,0.0,Aphanocapsa sp.,rio,RIO DO PEIXE,2018-02-07,CACADOR,0,1,0,0,0,SUL,1
114.0,40.0,2.0,0.1000000014901161,0.9200000166893004,0.800000011920929,0.0299999993294477,74.0,64.69999694824219,6.400000095367432,6.699999809265137,0.39999961853027344,22.700000762939453,23.100000381469727,SC,0.0,Aphanocapsa sp.,rio,RIO DO PEIXE,2018-12-03,CAPINZAL,0,0,0,0,1,SUL,1
101.0,4.0,2.299999952316284,0.6399999856948853,2.970000028610229,2.002500057220459,0.209999993443489,97.0,11.699999809265137,8.5,7.199999809265137,5.800001144409173,19.89999961853028,25.700000762939453,SC,0.0,Aphanocapsa sp.,rio,RIO DO PEIXE,2018-08-09,CACADOR,0,0,0,1,0,SUL,1
1842.0,50.0,2.0,0.4000000059604645,0.6700000166893005,9.010000228881836,0.1500000059604644,1614.0,6.099999904632568,7.190000057220459,8.15999984741211,-0.2999992370605469,29.299999237060547,29.0,SC,0.0,Aphanocapsa sp.,rio,RIO DO PEIXE,2016-11-01,JOACABA,0,0,0,0,1,SUL,1
196.0,54.0,3.700000047683716,0.1000000014901161,1.2400000095367432,17.243799209594727,0.1800000071525573,142.0,46.400001525878906,5.900000095367432,7.199999809265137,1.0,22.0,23.0,SC,0.0,Aphanocapsa sp.,rio,SAO DOMINGOS,2018-11-08,CUNHA PORA,0,0,0,0,1,SUL,1
117.0,41.0,2.0,0.3700000047683716,0.270000010728836,1.136199951171875,0.0700000002980232,76.0,61.20000076293945,7.199999809265137,6.5,2.3000011444091726,26.89999961853028,29.200000762939453,SC,0.0,Aphanocapsa sp.,rio,SAO DOMINGOS,2020-03-05,CUNHA PORA,0,1,0,0,0,SUL,1
105.0,42.0,2.0,0.2899999916553497,0.1700000017881393,0.800000011920929,0.1299999952316284,63.0,64.0,4.5,6.599999904632568,6.300001144409173,25.39999961853028,31.700000762939453,SC,0.0,Aphanocapsa sp.,rio,SAO DOMINGOS,2020-03-05,CUNHA PORA,0,1,0,0,0,SUL,1
110.0,14.0,2.0,0.1000000014901161,0.4099999964237213,1.6019999980926514,0.0299999993294477,96.0,16.700000762939453,7.300000190734863,7.199999809265137,-3.0,24.799999237060547,21.799999237060547,SC,0.0,Aphanocapsa sp.,rio,SAO DOMINGOS,2019-10-02,CUNHA PORA,0,0,0,0,1,SUL,1
109.0,22.0,2.0,0.1899999976158142,0.8299999833106995,0.9535999894142152,0.0399999991059303,87.0,38.70000076293945,7.300000190734863,6.599999904632568,4.0,23.200000762939453,27.200000762939453,SC,0.0,Aphanocapsa sp.,rio,SAO DOMINGOS,2019-10-02,CUNHA PORA,0,0,0,0,1,SUL,1
105.0,17.0,2.0,0.1000000014901161,0.1000000014901161,0.8009999990463257,0.0399999991059303,88.0,39.09999847412109,7.699999809265137,6.800000190734863,-2.6000003814697195,23.0,20.39999961853028,SC,0.0,Aphanocapsa sp.,rio,SAO DOMINGOS,2018-10-04,CUNHA PORA,0,0,0,0,1,SUL,1
142.0,10.0,2.0,0.1000000014901161,1.3600000143051147,7.34250020980835,0.0599999986588954,132.0,12.5,3.5,6.800000190734863,4.900001525878906,21.299999237060547,26.200000762939453,SC,0.0,Aphanocapsa sp.,rio,SAO DOMINGOS,2020-06-02,CUNHA PORA,0,0,1,0,0,SUL,1
109.0,5.0,2.0,0.1000000014901161,0.9800000190734864,2.803499937057495,0.0199999995529651,104.0,13.399999618530272,5.699999809265137,6.800000190734863,4.299999237060547,20.700000762939453,25.0,SC,0.0,Aphanocapsa sp.,rio,SAO DOMINGOS,2019-09-03,CUNHA PORA,0,0,0,1,0,SUL,1
26.0,6.0,2.0,0.2000000029802322,0.0799999982118606,0.8009999990463257,0.0199999995529651,20.0,5.369999885559082,9.0,6.800000190734863,2.3000011444091797,19.299999237060547,21.600000381469727,SC,0.0,Aphanocapsa sp.,rio,RIO DAS FLORES,2018-09-03,PARAISO,0,0,0,1,0,SUL,1
36.0,11.0,2.0,0.1000000014901161,0.7599999904632568,0.800000011920929,0.1299999952316284,25.0,4.46999979019165,8.600000381469727,6.699999809265137,3.6999988555908274,19.700000762939453,23.39999961853028,SC,0.0,Aphanocapsa sp.,rio,RIO DAS FLORES,2019-09-02,PARAISO,0,0,0,1,0,SUL,1
26.0,6.0,2.0,0.2000000029802322,0.0799999982118606,0.8009999990463257,0.0199999995529651,20.0,5.369999885559082,9.0,6.800000190734863,2.3000011444091797,19.299999237060547,21.600000381469727,SC,0.0,Aphanocapsa sp.,rio,RIO DAS FLORES,2018-09-03,GUARUJA DO SUL,0,0,0,1,0,SUL,1
